Imagen,TamPagina,Marcos,Referencias,Hits,Misses,PorcentajeHits,TiempoHits(ns),TiempoMisses(ns),TiempoTotal(ns)
imag1.bmp,512,4,756756,746554,10202,98,65,37327700,102020000000,102057327700
imag1.bmp,512,6,756756,756644,112,99,99,37832200,1120000000,1157832200
imag1.bmp,512,8,756756,756645,111,99,99,37832250,1110000000,1147832250
imag1.bmp,512,12,756756,756645,111,99,99,37832250,1110000000,1147832250
imag1.bmp,1024,4,756756,753753,3003,99,60,37687650,30030000000,30067687650
imag1.bmp,1024,6,756756,756701,55,99,99,37835050,550000000,587835050
imag1.bmp,1024,8,756756,756701,55,99,99,37835050,550000000,587835050
imag1.bmp,1024,12,756756,756701,55,99,99,37835050,550000000,587835050
imag1.bmp,2048,4,756756,755020,1736,99,77,37751000,17360000000,17397751000
imag1.bmp,2048,6,756756,756728,28,100,00,37836400,280000000,317836400
imag1.bmp,2048,8,756756,756728,28,100,00,37836400,280000000,317836400
imag1.bmp,2048,12,756756,756728,28,100,00,37836400,280000000,317836400
imag1.bmp,4096,4,756756,756568,188,99,98,37828400,1880000000,1917828400
imag1.bmp,4096,6,756756,756742,14,100,00,37837100,140000000,177837100
imag1.bmp,4096,8,756756,756742,14,100,00,37837100,140000000,177837100
imag1.bmp,4096,12,756756,756742,14,100,00,37837100,140000000,177837100
imag2.bmp,512,4,185136,183396,1740,99,06,9169800,17400000000,17409169800
imag2.bmp,512,6,185136,185107,29,99,98,9255350,290000000,299255350
imag2.bmp,512,8,185136,185108,28,99,98,9255400,280000000,289255400
imag2.bmp,512,12,185136,185108,28,99,98,9255400,280000000,289255400
imag2.bmp,1024,4,185136,184213,923,99,50,9210650,9230000000,9239210650
imag2.bmp,1024,6,185136,185122,14,99,99,9256100,140000000,149256100
imag2.bmp,1024,8,185136,185122,14,99,99,9256100,140000000,149256100
imag2.bmp,1024,12,185136,185122,14,99,99,9256100,140000000,149256100
imag2.bmp,2048,4,185136,185129,7,100,00,9256450,70000000,79256450
imag2.bmp,2048,6,185136,185129,7,100,00,9256450,70000000,79256450
imag2.bmp,2048,8,185136,185129,7,100,00,9256450,70000000,79256450
imag2.bmp,2048,12,185136,185129,7,100,00,9256450,70000000,79256450
imag2.bmp,4096,4,185136,185132,4,100,00,9256600,40000000,49256600
imag2.bmp,4096,6,185136,185132,4,100,00,9256600,40000000,49256600
imag2.bmp,4096,8,185136,185132,4,100,00,9256600,40000000,49256600
imag2.bmp,4096,12,185136,185132,4,100,00,9256600,40000000,49256600
